query_id,articleType,P@1,R@1,AP@1,nDCG@1,P@5,R@5,AP@5,nDCG@5,P@10,R@10,AP@10,nDCG@10
6397,Sandals,0.0,0.0,0.0,0.08454209345713619,0.4,0.0025673940949935813,0.16666666666666666,0.3735049649675272,0.4,0.005134788189987163,0.16083333333333333,0.3938627395389625
39879,Duffel Bag,0.0,0.0,0.0,0.0,0.4,0.02564102564102564,0.14666666666666667,0.31067939306353387,0.5,0.0641025641025641,0.23047619047619045,0.3790444753353469
18378,Trunk,1.0,0.007936507936507936,1.0,0.47688119626122066,0.8,0.031746031746031744,0.6433333333333333,0.3789334872898219,0.7,0.05555555555555555,0.5684920634920634,0.3907961250143806
49084,Nail Polish,1.0,0.05555555555555555,1.0,1.0,1.0,0.2777777777777778,1.0,1.0,0.7,0.3888888888888889,0.7,0.803248869870327
17365,Accessory Gift Set,1.0,0.010416666666666666,1.0,0.47688119626122066,1.0,0.052083333333333336,1.0,0.47688119626122066,1.0,0.10416666666666667,1.0,0.4768811962612207
29981,Free Gifts,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.02093064745101847,0.0,0.0,0.0,0.026734181934167628
29010,Duffel Bag,1.0,0.01282051282051282,1.0,1.0,0.8,0.05128205128205128,0.8,0.5950700784743254,0.4,0.05128205128205128,0.4,0.4137045331053821
15461,Tracksuits,1.0,0.038461538461538464,1.0,0.47688119626122066,0.2,0.038461538461538464,0.2,0.18799563559341814,0.1,0.038461538461538464,0.1,0.13384228154888572
39059,Cufflinks,0.0,0.0,0.0,0.0,0.6,0.07317073170731707,0.35333333333333333,0.32402581924157764,0.3,0.07317073170731707,0.17666666666666667,0.25535367461724157
17766,Casual Shoes,1.0,0.00041407867494824016,1.0,0.47688119626122066,0.4,0.0008281573498964803,0.3,0.24125540162059245,0.4,0.0016563146997929607,0.24285714285714288,0.2286434674181597
34990,Sarees,0.0,0.0,0.0,0.01915224298978878,0.4,0.014388489208633094,0.2,0.19481831245982545,0.5,0.03597122302158273,0.25,0.32797387182221194
8224,Duffel Bag,0.0,0.0,0.0,0.12189513842264811,0.0,0.0,0.0,0.1218951384226481,0.0,0.0,0.0,0.09435799029286927
44682,Dresses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004236349993800399
28173,Sunglasses,1.0,0.0010604453870625664,1.0,0.47688119626122066,1.0,0.005302226935312832,1.0,0.5455170394539307,1.0,0.010604453870625663,1.0,0.5214211621084957
38550,Sports Sandals,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.08454209345713619,0.1,0.017543859649122806,0.016666666666666666,0.14743995766821485
38433,Mobile Pouch,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.02079280345740387,0.0,0.0,0.0,0.021428591698472794
39524,Laptop Bag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006810583762573862,0.0,0.0,0.0,0.004419602849976551
3330,Tshirts,1.0,0.00016388069485414618,1.0,1.0,0.6,0.0004916420845624386,0.42000000000000004,0.6406645024286401,0.8,0.0013110455588331695,0.5808730158730159,0.7335346188728107
51797,Nightdress,0.0,0.0,0.0,0.04016145559930565,0.0,0.0,0.0,0.034892068704390274,0.0,0.0,0.0,0.030646993561921368
35492,Formal Shoes,1.0,0.0018214936247723133,1.0,1.0,0.8,0.007285974499089253,0.8,0.8798872744127574,0.7,0.012750455373406194,0.639047619047619,0.7978407459811356
46132,Necklace and Chains,0.0,0.0,0.0,0.01915224298978878,0.2,0.017857142857142856,0.04,0.09802417287192917,0.2,0.03571428571428571,0.04857142857142857,0.1321396004496839
41486,Tshirts,1.0,0.00016388069485414618,1.0,1.0,0.6,0.0004916420845624386,0.4533333333333333,0.5581306984614776,0.5,0.0008194034742707309,0.32666666666666666,0.43414649226355717
50662,Lounge Pants,1.0,0.020833333333333332,1.0,0.47688119626122066,0.2,0.020833333333333332,0.2,0.17439568874100506,0.1,0.020833333333333332,0.1,0.13584269926151396
41332,Dupatta,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.06361368897451569,0.0,0.0,0.0,0.057342032290175766
15091,Tunics,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.04624989774414039,0.0,0.0,0.0,0.03949183694154203
25749,Belts,1.0,0.0013966480446927375,1.0,0.47688119626122066,1.0,0.006983240223463687,1.0,0.6946344524850184,1.0,0.013966480446927373,1.0,0.7630204491078679
28267,Deodorant,1.0,0.003787878787878788,1.0,0.32366325234291043,1.0,0.01893939393939394,1.0,0.5900374078133657,0.9,0.03409090909090909,0.8788888888888889,0.5185311543408603
50671,Lounge Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024135861438458524
24493,Backpacks,1.0,0.001564945226917058,1.0,0.32366325234291043,1.0,0.00782472613458529,1.0,0.40253547471584533,1.0,0.01564945226917058,1.0,0.4632947401756992
44155,Fragrance Gift Set,1.0,0.02,1.0,1.0,0.2,0.02,0.2,0.35859213637843623,0.1,0.02,0.1,0.24552868623753651
39871,Heels,1.0,0.001059322033898305,1.0,0.47688119626122066,0.6,0.0031779661016949155,0.4833333333333333,0.31477880755752763,0.5,0.005296610169491525,0.3613095238095238,0.2763551270565779
8067,Wallets,0.0,0.0,0.0,0.04623760747755864,0.0,0.0,0.0,0.04151114005825164,0.0,0.0,0.0,0.04243780856357092
